"Name","Team","Kills","Assists","Deaths","HS%","Team_kill","All_entries_won","Bomb_planted","Bomb_defused","KPR","APR","DPR","ADR","TDH","TDA","5K","4K","3K","2K","1K","Trade_kill","Trade_death","1v1","1v1_won","1v2","1v2_won","1v3","1v3_won","1v4","1v4_won","1v5","1v5_won","Utility","Map","Year","Map_Type","Event","Flashed_opponents_for","CT_entry_attempts","CT_entry_attempts_won","T_entry_attempts","T_entry_attempts_won"
"Plopski","Ninjas in Pyjamas",11,2,17,36.36,0,2,3,0,0.42,0.08,0.65,54.6,1419,220,0,0,0,1,9,0,1,0,0,0,0,1,0,0,0,0,0,233272,"de_nuke","03-11-2021","BO1","PGL Major Stockholm 2021",0,1,0,2,0
"dev1ce","Ninjas in Pyjamas",20,4,19,45,0,4,0,0,0.77,0.15,0.73,85,2209,218,0,0,3,3,5,1,1,0,0,0,0,0,0,0,0,1,0,233272,"de_nuke","03-11-2021","BO1","PGL Major Stockholm 2021",72.8,5,3,4,1
"HooXi","Copenhagen Flames",10,3,16,50,0,4,3,1,0.38,0.12,0.62,41.5,1079,150,0,0,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","03-11-2021","BO1","PGL Major Stockholm 2021",50.02,2,1,4,1
"hampus","Ninjas in Pyjamas",13,6,21,23.08,0,3,0,0,0.5,0.23,0.81,80.7,2097,300,0,0,1,1,8,3,2,0,0,0,0,0,0,1,0,1,0,233272,"de_nuke","03-11-2021","BO1","PGL Major Stockholm 2021",56.89,3,2,3,0
"LNZ","Ninjas in Pyjamas",19,1,14,47.37,0,4,1,1,0.73,0.04,0.54,81.2,2110,328,0,0,0,5,9,4,4,0,0,0,0,1,0,0,0,0,0,233272,"de_nuke","03-11-2021","BO1","PGL Major Stockholm 2021",35.67,1,0,4,4
"REZ","Ninjas in Pyjamas",14,1,18,50,0,2,0,0,0.54,0.04,0.69,57,1482,219,0,0,1,1,9,3,3,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","03-11-2021","BO1","PGL Major Stockholm 2021",19.38,1,0,2,0
"nicoodoz","Copenhagen Flames",14,2,12,28.57,0,1,2,0,0.54,0.08,0.46,50.7,1319,66,0,0,0,1,12,2,3,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","03-11-2021","BO1","PGL Major Stockholm 2021",29.96,2,0,1,1
"jabbi","Copenhagen Flames",27,1,16,74.07,0,2,0,0,1.04,0.04,0.62,100.9,2624,377,0,2,2,2,9,2,4,0,0,0,0,1,0,1,0,0,0,233272,"de_nuke","03-11-2021","BO1","PGL Major Stockholm 2021",51.37,3,2,2,2
"LNZ","Ninjas in Pyjamas",17,10,17,41.18,0,0,4,1,0.59,0.34,0.59,52.9,1535,230,0,0,0,4,9,2,0,1,1,0,0,0,0,0,0,0,0,233272,"de_inferno","03-11-2021","BO1","PGL Major Stockholm 2021",136.72,4,3,0,0
"Plopski","Ninjas in Pyjamas",13,5,20,15.38,0,1,0,0,0.45,0.17,0.69,72.9,2115,364,0,0,0,0,13,3,7,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","03-11-2021","BO1","PGL Major Stockholm 2021",54,3,2,1,0
